reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity,operation
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSAND,Dats Anderlecht 2,Chaussée de Mons 875,,1070,Anderlecht,,50.82815,4.30232,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSANV,Dats Anvers,Vosseschijnstraat 42,,2030,Anvers,,51.25694,4.41659,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSANV1,Dats Anvers,Vosseschijnstraat 42,,2030,Anvers,,51.25694,4.41659,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSBRU,Dats Brugge,Bruggestraat 168,,8820,TORHOUT,,51.08252,3.11593,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSBRU1,Dats Brugge,Bruggestraat 168,,8820,TORHOUT,,51.08252,3.11593,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSGENT,Dats Gand,Wiedauwkaai 104,,9000,Gand,,51.08638,3.72522,,,,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSGENT1,Dats Gand,Wiedauwkaai 104,,9000,Gand,,51.08638,3.72522,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSGRIM3,DATS GRIMBERGEN,Vilvoordsesteenweg 301,,1850,Grimbergen,,50.92705,4.3914,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSIZE,Dats Izegem,Krekelmotestraat 147,,8870,Izegem,,50.92255,3.20958,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSKAMP1,DATS KAMPENHOUT,Mechelsesteenweg 65,,1910,Kampenhout,,50.9592,4.58707,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSKAMP2,DATS KAMPENHOUT,Mechelsesteenweg 65,,1910,Kampenhout,,50.9592,4.58707,5 min de TV Bastard,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSKOR,Dats Courtrai,Kortrijkstraat 226,,8560,Wevelgem,,50.81237,3.1959399,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSKOR1,Dats Courtrai,Kortrijkstraat 226,,8560,Wevelgem,,50.81237,3.1959399,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSMEL1,DATS MELLE,Brusselsesteenweg 36,,9090,Melle,,51.02265,3.77486,,,Dats,,0:15:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSMEL2,DATS MELLE,Brusselsesteenweg 36,,9090,MELLE,,51.02265,3.77486,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSNato,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSNato1,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSNato2,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DatsOve1,Dats Overijse,Brusselsesteenweg 361,,3090,Overijse,,50.78348,4.5058,,,,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSWAR,Dats Waregem,Gentseweg 568A,,8793,Sint-Eloois-Vijve,,50.90178,3.40718,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSWAR1,Dats Waregem,Gentseweg 568A,,8793,Sint-Eloois-Vijve,,50.90178,3.40718,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSWAV,Dats Wavre,Avenue des princes 45,,1300,Wavre,,50.71745,4.61655,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSWAV1,Dats Wavre,Avenue des princes 45,,1300,Wavre,,50.71745,4.61655,,,"""""",,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSZAV1,Dats Zaventem,Leuvensesteenweg 500,,1930,Zaventem,,50.871726,4.476907,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,DATSZAV2,Dats Zaventem,Leuvensesteenweg 500,,1930,Zaventem,,50.8718456,4.477108,,,Dats,,0:10:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,1,Au Rayon Bio,30 Gustave van Huynegemstraat,,1090,Jette,,50.8787499,4.3276199,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,2,Au Rayon Bio,30 Gustave van Huynegemstraat,,1090,Jette,,50.8787499,4.3276199,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,3,Au Rayon Bio,30 Gustave van Huynegemstraat,,1090,Jette,,50.8787499,4.3276199,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,4,BelgoMarkt Coop.,Rue de Dublin 19,,1050,Ixelles,,50.83711,4.3672,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,5,BelgoMarkt Coop.,Rue de Dublin 19,,1050,Ixelles,,50.83711,4.3672,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,6,BelgoMarkt Coop.,Rue de Dublin 19,,1050,Ixelles,,50.83711,4.3672,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,7,BelgoMarkt Coop.,Rue de Dublin 19,,1050,Ixelles,,50.83711,4.3672,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,8,Bio c' bon Alsemberg,Chaussée d'Alsemberg 676-678,,1180,Uccel,,50.80309,4.33682,(Entree par Rue des Fidèles 3),,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,9,Bio c' bon Alsemberg,Chaussée d'Alsemberg 676-678,,1180,Uccel,,50.80309,4.33682,(Entree par Rue des Fidèles 3),,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,10,Bio c' bon Quartier Stéphanie,Chaussée de Charleroi 18,,1060,Saint-Gilles,,50.83212,4.35692,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,11,Bio c' bon Quartier Stéphanie,Chaussée de Charleroi 18,,1060,Saint-Gilles,,50.83212,4.35692,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,12,Bio c'bon Bascule,Chaussée de Waterloo 718-720,,1180,Uccle,,50.81535,4.36738,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,13,Bio c'bon Bascule,Chaussée de Waterloo 718-720,,1180,Uccle,,50.81535,4.36738,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,14,Biorganic Factory,81 chaussée de Ruisbroek,,1190,Forest,,50.7992,4.31472,Irrégulier,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,15,Biorganic Factory,81 chaussée de Ruisbroek,,1190,Forest,,50.7992,4.31472,Irrégulier,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,16,Chambelland,Avenue de luniversité 42,,1050,Ixelles,,50.81469,4.38779,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,17,Chambelland,Avenue de luniversité 42,,1050,Ixelles,,50.81469,4.38779,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,18,Crea BIO SENS,13 avenue de Laeken,,1090,Jette,,50.87203,4.32519,Irrégulier,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,19,Crea BIO SENS,13 avenue de Laeken,,1090,Jette,,50.87203,4.32519,Irrégulier,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,21,Dolma,21 rue de vergnies,,1050,Ixelles,,50.829,4.3712799,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,22,Dolma,21 rue de vergnies,,1050,Ixelles,,50.829,4.3712799,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,23,Dolma,21 rue de vergnies,,1050,Ixelles,,50.829,4.3712799,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,24,Dolma,21 rue de vergnies,,1050,Ixelles,,50.829,4.3712799,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,25,Green Food,21 rue de vergnies,,1050,Ixelles,,50.829,4.3712799,Irrégulier / petite quantité / livrer à Dolma,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,26,La Fraysse,Chaussée de Louvain 896,,1140,Evere,,50.85852,4.41291,Apres 10h,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,27,LA SAGA Globe Halles,9 avenue de la Chevalerie,,1040,Etterbeek,,50.84261,4.39598,Temporairement plus de commande,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,28,LA SAGA Globe Halles,9 avenue de la Chevalerie,,1040,Etterbeek,,50.84261,4.39598,Temporairement plus de commande,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,29,LA SAGA Globe Halles,9 avenue de la Chevalerie,,1040,Etterbeek,,50.84261,4.39598,Temporairement plus de commande,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,30,Le magasain,Chaussée de Vleurgat 287,,1050,Ixelles,,50.81759,4.36628,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,31,Le magasain,Chaussée de Vleurgat 287,,1050,Ixelles,,50.81759,4.36628,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,32,Le P'tit Beurre,Avenue Paul Dejaer 4,,1060,Bruxelles,,50.82658,4.34493,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,33,Le relais du tripoteur,124 rue Middelbourg,,1170,Bruxelles,,50.79416,4.41889,Toutes les 2 semaines,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,34,Les ferme de nos pilifs,Trassersweg 347,,1120,Bruxelles,,50.90368,4.38881,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,35,Les ferme de nos pilifs,Trassersweg 347,,1120,Bruxelles,,50.90368,4.38881,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,36,Les Gauchers (Entrenous/Sara Lenzi),Rue de Merode 29,,1060,Saint-Gilles,,50.83587,4.33986,Irrégulier/ Petites Quantité,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,37,Les Gauchers (Entrenous/Sara Lenzi),Rue de Merode 29,,1060,Saint-Gilles,,50.83587,4.33986,Irrégulier/ Petites Quantité,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,38,Les idées à la pêle,25 avenue Louis Bertrand 1030 Schaerbeek,,1030,Schaerbeek,,50.8636,4.37478,mardi-mercredi-jeudi-samedi,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,40,Les idées à la pêle,25 avenue Louis Bertrand 1030 Schaerbeek,,1030,Schaerbeek,,50.8636,4.37478,mardi-mercredi-jeudi-samedi,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,41,Les idées à la pêle,25 avenue Louis Bertrand 1030 Schaerbeek,,1030,Schaerbeek,,50.8636,4.37478,mardi-mercredi-jeudi-samedi,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,42,Magasin General,Rue Guillaume Stocq 45,,1050,Ixelles,,50.82358,4.37671,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,43,Magasin General,Rue Guillaume Stocq 45,,1050,Ixelles,,50.82358,4.37671,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,46,Magasin General,Rue Guillaume Stocq 45,,1050,Ixelles,,50.82358,4.37671,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,47,Natural Corner,Rue de l'Escalier 1,,1000,Bruxelles,,50.84385,4.3524,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,48,Natural Corner,Rue de l'Escalier 1,,1000,Bruxelles,,50.84385,4.3524,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,49,Natural Corner,Rue de l'Escalier 1,,1000,Bruxelles,,50.84385,4.3524,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,50,Natural Corner,Rue de l'Escalier 1,,1000,Bruxelles,,50.84385,4.3524,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,51,Neerhof,Neerhofstraat 2,,1700,Dilbeek,,50.83905,4.25914,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,52,Ozfair,J.Volderslaan 9,,1060,Bruxelles,,50.8323233,4.3428801,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,53,Ozfair,J.Volderslaan 9,,1060,Bruxelles,,50.8323233,4.3428801,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,54,Pick-Eat,Rue de Dublin 19,,1050,Bruxelles,,50.83711,4.3672,Irrégulier,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,55,Pick-Eat,Rue de Dublin 19,,1050,Bruxelles,,50.83711,4.3672,Irrégulier,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,56,Pick-Eat,Rue de Dublin 19,,1050,Bruxelles,,50.83711,4.3672,Irrégulier,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,57,Rootstore,Michelangelolaan 45a,,1000,Bruxelles,,50.84496,4.38558,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,58,Rootstore,Michelangelolaan 45a,,1000,Bruxelles,,50.84496,4.38558,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,59,Tan SC,Rue de l'Aqueduc 95,,1050,Ixelles,,50.82423,4.35893,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,60,Tan SC,Rue de l'Aqueduc 95,,1050,Ixelles,,50.82423,4.35893,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,61,Tan SC,Rue de l'Aqueduc 95,,1050,Ixelles,,50.82423,4.35893,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,62,Tan SC,Rue de l'Aqueduc 95,,1050,Ixelles,,50.82423,4.35893,,,Ecodal,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,ELGEKA,ELGEKA,Xenodochoipallilon 81,,13672,Acharnes,,38.107273,23.760346,,,SELIS,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM COOK,FARM COOKING,Avenue du bois de la cambre 49,code volet 1234,1050,Ixelles,,50.80935,4.3949999,Code volet 8110,LOUIS 0473762212,FARM,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM COOK3,FARM COOKING,avenue du bois de la cambre 49,,1050,Ixelles,Belgique,50.80935,4.3949999,code volet 1234,Louis 0473 762212,FARM,,0:20:00,,,,,4,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM FC-IXL,FARM FC-IXL,136 chaussée d'Ixelles,,1050,Ixelles,,50.83424,4.36542,CODE: 125874,,FARM,,0:30:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM FC-IXL2,FARM FC-IXL,chaussée d' ixelles 132,,1050,Ixelles,,50.83442,4.36517,CODE: 125874,,FARM,,0:30:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM ST CATH,FARM ST CATH,Rue du rouleau 12,,,,,50.852301,4.34814,CODE 181618,,,,0:30:00,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM TEST1,BRASSERIE DE LA LESSE,Rue du Treux 4,,5580,Rochefort,,50.14018,5.1636,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM TEST2,COULEUR NATURE,Rue de l'Industrie 17/B,,1400,Nivelles,,50.5907,4.35857,,,,,,,,,,,,,
,VENDREDI 27.O7,,,,visit,,,,,,,,,,,,,FARM TEST3,Ethiquable Benelux Fair Trade Fair Taste,Rue du Parc Industriel 60,,4300,Waremme,,50.68868,5.27539,,,,,,,,,,,,,
