reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,Residence Couvent de la chartreuse,Thier de la ChartreuseÊ 47,,4020,,,50.6338,5.59431,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,RŽsidence Aurore,Rue GrŽtryÊ 172,,4020,,,50.64928,5.62933,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,Ferme Blanche,Rue Modeste Rigo(POU)Ê 10,,4350,,,50.69719,5.30651,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,RŽsidence VŽronique,"Route de France, BaillonvilleÊ 2A",,5377,,,50.28998,5.34167,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,Bois de BernihŽ,Avenue de HouffalizeÊ 65,,6800,,,49.92772,5.38372,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,Residentie Huis aan Zee,Maurice DevriendtlaanÊ 15,,8370,,,51.31697,3.14092,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,Residentie Brugsevaart,BrugsevaartÊ 3,,9030,,,51.0711299,3.69216,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,Residentie Vroonstalle,EvergemsesteenwegÊ 151,,9032,,,51.09583,3.71469,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,KARTUIZERHOF,Tempel 20B-20C,,9570,,,50.80296,3.8229,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,,RƒSIDENCE ÔT NEERHOF,Nieuwstraat 67,,9660,,,50.82331,3.7482,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,GER,TFCO GERPINNES,rue neuve 2,,6280,,,50.34369,4.47261,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL1,Résidence Les Etangs d'ixelles,Renbaanlaan  90-94,,1050,,,50.82159,4.37615,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL2,Résidence Beau-Site,Overwinningsstraat  152,,1060,,,50.82803,4.3517,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL3,Résidence Prince de Liège,Louis Mettewielaan  266,,1080,,,50.85044,4.30001,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL4,Résidence Prince de Liège,Schoonslaapsterstraat  26,,1080,,,50.84988,4.30117,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL5,Home Aldante,M. L. Uytroeverstraat  1,,1081,,,50.86553,4.31293,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL6,Résidence de la Paix,Frans Léonstraat  40,,1140,,,50.87898,4.40208,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL7,Résidence de la Paix,Goede Herderstraat  40,,1140,,,50.87894,4.40155,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL8,Residentie Palmyra,Zennebeemd  13-15,,1620,,,50.79248,4.313,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL9,RÉSIDENCE BLARET,Avenue de l'Orée 1,,1640,,,50.7406999,4.3981899,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL10,Residentie Maria Assumpta,H. Moeremanslaan  8,,1700,,,50.85094,4.2680999,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL11,Residentie Arthur,Solvynsstraat  80,,2018,,,51.2055999,4.40055,,,,,,,,,,,,,
,DIMANCHE 04.11,,,,visit,,,,,,,,,,,,,VUL12,Residentie Nieuwe Kaai,Nieuwe Kaai  5,,2300,,,51.32605,4.93334,,,,,,,,,,,,,
