reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,visit duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,TFCO EATS,Chaussée de Bruxelles 359,,7850,enghien,belgique,50.6907799,4.05783,,,TFCO,,0:20:00,,,,,,,0,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,Little Morning,Avenue des combattants 165,,1470,Bousval,,50.63115,4.53516,Chargement marchandise Farm et Efarmz,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,eFarmz,eFarmz,Rue Henri-Jospeh Genesse 34,,1070,Bruxelles,,50.82112,4.31197,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,VILLA TER MOLEN (VULPIA),Dorpsstraat 63-65,,2940,Stabroek,,51.33302,4.36675,,,VULPIA,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,DatsSer,DATS LIEGE SERAING,Rue Puits-Marie 61,,4100,Seraing,,50.60829,5.51841,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE WOLUWE,"Avenue Baron d'Huart, 27",,1150,Woluwe-Saint-Pierre,,50.83885,4.4657,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE FORT JACO,,"Chaussée de Waterloo, 1395",1180,Uccle,,50.7904,4.35992,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE WEMMEL,,"Markt, 63",1780,Wemmel,,50.90718,4.30597,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE CHATELAIN,,Place du Châtelain 31-32,1050,Ixelles,,50.82056,4.38803,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE TONGRES,,"Rue Gérard, 107",1040,Etterbeek,,50.83401,4.39406,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE LA HULPE,,"Avenue Albert Ier, 30",1332,Genval,,50.71709,4.49734,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE ANVERS,,Kammenstraat 30,2000,Antwerpen,,51.21978,4.40551,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,FONTEYNE ZAVENTEM,,Da Vincilaan 7,1935,Zaventem,,50.88369,4.47413,,,,,,,,,,,,,
