reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSGRIM3,DATS GRIMBERGEN,Vilvoordsesteenweg 301,,1850,Grimbergen,,50.92705,4.3914,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSIZE,Dats Izegem,Krekelmotestraat 147,,8870,Izegem,,50.92255,3.20958,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSKAMP1,DATS KAMPENHOUT,Mechelsesteenweg 65,,1910,Kampenhout,,50.9592,4.58707,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSKAMP2,DATS KAMPENHOUT,Mechelsesteenweg 65,,1910,Kampenhout,,50.9592,4.58707,5 min de TV Bastard,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSKOR,Dats Courtrai,Kortrijkstraat 226,,8560,Wevelgem,,50.81237,3.1959399,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSKOR1,Dats Courtrai,Kortrijkstraat 226,,8560,Wevelgem,,50.81237,3.1959399,,,"""""",,0:10:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSMEL1,DATS MELLE,Brusselsesteenweg 36,,9090,Melle,,51.02265,3.77486,,,Dats,,0:15:00,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSNato,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSNato1,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
,JEUDI 25.10,,,,visit,,,,,,,,,,,,,DATSNato2,Dats NATO,Oude Hachtsesteenweg 7,,1831,Machelen,,50.89316,4.43101,,,,,,,,,,,,,
